"lang"
{
	"Language"	"Schinese"
		"h410"	"火星车|绿色"
		"h411"	"火星车|红色"
		"h412"	"对映体|天使"
		"h413"	"对映体|恶魔"
		"h414"	"VG飞狐侠|青色"
		"h415"	"啾啾"
		"h416"	"死亡先知"
		"h417"	"金银狐灵|黑色"
		"h418"	"金银狐灵|白色"
		"h419"	"风神飞镰"
		"h420"	"抬轿兄弟"
		"h421"	"碧磷|大师"
		"h422"	"长耳兔妖"
		"h499"	"死亡先知|纯金"
		"h429"	"机械小龙"
		"h423"	"蟹小蜗|玲珑心"
		"h424"	"蟹小蜗|冰眼"
		"h425"	"蟹小蜗|冠军盾"
		"h426"	"绽放树精"
		"h427"	"小恶魔|飞毯"
		"h428"	"矿车鼠|纯金"
		"h001"	"天辉小驴"
		"h002"	"夜魇小驴"
		"h399"	"姜饼肉山"
		"h429"	"贪小疯魔"
		"h430"	"灵犀弗拉尔"
		"h336"	"天照大神"
		"h235"	"迅捷陆行鸟"
		"h236"	"多多鸟"
		"h237"	"北地海豹"
		"h135"	"翠花|黑色"
		"h238"	"滚滚宝宝"
		"h431"	"黄油小生"
		"h432"	"年兽宝宝"
		"skin_2_1"	"鬼手索命"
		"skin_2_2"	"败腐心森"
		"skin_2_10001"	"盈寸之地"
		"skin_2_10002"	"冤魂索命"
		"skin_2_10003"	"素裹寒霜"
		"skin_2_20001"	"净晶之径"
		"skin_2_20002"	"熔岩焦土"
		"skin_2_30001"	"沉没纹章"
		"skin_2_30002"	"晶阶纹章"
		"skin_2_30003"	"蔓生纹章"

		"skin_3_1"	"斑驴小布"
		"skin_3_2"	"哈哈"
		"skin_3_3"	"布狗"
		"skin_3_4"	"草泥马"
		"skin_3_5"	"勇敢的小鸡"
		"skin_3_6"	"不屈战犬"
		"skin_3_7"	"小钢驴"
		"skin_3_8"	"竭智法师与独角兽"
		"skin_3_10001"	"天照"
		"skin_3_10002"	"小血魔"
		"skin_3_10003"	"青昆咬人箱"
		"skin_3_10004"	"八小戒"
		"skin_3_10005"	"飞僵小宝"
		"skin_3_10006"	"小帕吉"
		"skin_3_10007"	"基拉魔法师"
		"skin_3_20001"	"坚背兽"
		"skin_3_20002"	"霸王龙假面"
		"skin_3_20003"	"地狗天猫"
		"skin_3_20004"	"翠花"
		"skin_3_20005"	"白虎"
		"skin_3_20006"	"斑竹队长"
		"skin_3_30001"	"TI7肉山"
		"skin_3_30002"	"碧玉肉山宝宝"
		"skin_3_30003"	"劫蜜肉山宝宝"
		"skin_3_30004"	"TI8肉山(珍藏版)"
		"skin_3_30005"	"纯金小血魔"
		"skin_3_30006"	"年兽宝宝"

		"gametip1"	"你知道吗？汰换棋子会按照棋子的等级返还金币，并掉落装备。"
		"gametip2"	"你知道吗？每回合都可以获得当前金币10%的利息收入。"
		"gametip3"	"你知道吗？3回合以上的连胜可以获得额外的金币奖励。"
		"gametip4"	"你知道吗？所有玩家的棋子都是从一个很大的公共棋库抽取的。"
		"gametip5"	"你知道吗？棋子在战斗时能量达到100后会自动释放技能。"
		"gametip6"	"你知道吗？棋子造成伤害和受到伤害都可以获得能量。"
		"gametip7"	"你知道吗？击败更高段位的对手可以获得更多积分。"
		"gametip8"	"你知道吗？一天最多可以获得10个糖果。"
		"gametip9"	"你知道吗？使用糖果可以在糖果商店玩扭蛋机解锁新的信使。"
		"gametip10"	"你知道吗？使用与别的玩家不相同的阵容会有较高的成型概率。"
		"gametip11"	"你知道吗？点击右侧玩家头像可以快速将镜头切换到他的场地。"
		"gametip12"	"你知道吗？德鲁伊的种族技能需要场上有2/4个不同的德鲁伊才能触发。"
		"gametip13"	"你知道吗？关掉招募棋子面板后按空格键就可以再次打开它。"
		"gametip14"	"你知道吗？完成5场比赛就可以显示你的天梯段位（棋艺等级）了。"
		"gametip15"	"你知道吗？玩累了自走棋，尝试一下DOTA2也是极好的。"
		"gametip16"	"你知道吗？推荐使用64位操作系统、16：9屏幕比例和小地图靠左进行游戏。"
		"gametip17"	"你知道吗？有特效的和正在使用的信使暂时无法参与集换。"
		"gametip18"	"你知道吗？连胜的时候你的信使会膨胀，直到10连胜起飞！"
		"text_unpause_game"		"恢复了游戏。"
		"text_pause_game"		"暂停了游戏。"

		//物品////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////////
		"LuaItemError_BuySingle"		"此物品只可购买一件"

		// "DOTA_Tooltip_ability_item_sobi_mask_Description"	"英雄装备：+<font color='#FFFFFF'> %bonus_mana_regen_hero% </font>点魔法恢复(每<font color='#FFFFFF'> %bonus_mana_regen_hero_round% </font>回合)\n兵卒装备：+<font color='#FFFFFF'> %bonus_mana_regen_bz%% </font> 魔法恢复"
		"DOTA_Tooltip_ability_item_sobi_mask_bonus_mana_regen_bz"	"%+  魔法恢复（兵卒装备） "
		"DOTA_Tooltip_ability_item_sobi_mask_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 3 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_sobi_mask_Note0"		""

		//虚无宝石
		// "DOTA_Tooltip_ability_item_void_stone_Description"	"英雄装备：+<font color='#FFFFFF'> %bonus_mana_regen_hero% </font>点魔法恢复(每<font color='#FFFFFF'> %bonus_mana_regen_hero_round% </font>回合)\n兵卒装备：+<font color='#FFFFFF'> %bonus_mana_regen_bz%% </font> 魔法恢复"
		"DOTA_Tooltip_ability_item_void_stone_bonus_mana_regen_bz"	"%+  魔法恢复 (兵卒装备) "
		"DOTA_Tooltip_ability_item_void_stone_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 1 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_void_stone_Note0"		""

		"DOTA_Tooltip_ability_item_shadow_amulet_lua"	"暗影护符"
		"DOTA_Tooltip_ability_item_shadow_amulet_lua_bonus_attack_speed"	"+ 攻击速度"
		"DOTA_Tooltip_ability_item_shadow_amulet_lua_Description"	"<h1>主动：隐身</h1>进入隐身状态，持续<font color='#7e8c9d'> 1 </font>玩家回合。直到下一个玩家回合开始。\n英雄隐身：不会被敌方兵卒攻击。\n兵卒隐身：无法攻击，无法被攻城略地。"
		"DOTA_Tooltip_ability_item_shadow_amulet_lua_Lore"			"一件小小的护符，握住了就能隔开敌人的感应。"

		//空明杖
		"DOTA_Tooltip_ability_item_oblivion_staff_bg"	"空明杖"
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_bonus_damage"	"+  攻击力"
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_bonus_attack_speed"	"+  攻击速度"
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_spell_amp"	"%+  技能增强"
		// "DOTA_Tooltip_ability_item_oblivion_staff_bg_Description"	"英雄装备：+<font color='#FFFFFF'> %bonus_mana_regen_hero% </font>点魔法恢复(每<font color='#FFFFFF'> %bonus_mana_regen_hero_round% </font>回合)\n兵卒装备：+<font color='#FFFFFF'> %bonus_mana_regen_bz%% </font> 魔法恢复"
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_bonus_mana_regen_bz"	"%+  魔法恢复 (兵卒装备) "
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 2 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_oblivion_staff_bg_Lore"	"让人误以为只是根普通短棍的外表下，其实威力不凡，就像原来拥有它的邪王。"

		//紫苑
		"DOTA_Tooltip_ability_item_orchid_Description"					"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"
		"DOTA_Tooltip_ability_item_orchid_spell_amp"				"%+  技能增强"
		"DOTA_Tooltip_ability_item_orchid_bonus_mana_regen_bz"		"%+  魔法恢复 (兵卒装备) "
		"DOTA_Tooltip_ability_item_orchid_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 2 </font>回合）（英雄装备）"
		"DOTA_Tooltip_Modifier_item_orchid_chenmo"						"紫苑"
        "DOTA_Tooltip_Modifier_item_orchid_chenmo_Description"			"被沉默，无法释放技能和卡牌，持续 1 回合结束。"

		//血棘
		"DOTA_Tooltip_ability_item_bloodthorn_Description"					"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。\n<h1>被动：致命一击</h1>每次攻击时有<font color='#7e8c9d'>%crit_chance%% </font>概率造成<font color='#7e8c9d'>%crit_multiplier%% </font>伤害。"
		"DOTA_Tooltip_ability_item_bloodthorn_spell_amp"				"%+  技能增强"
		"DOTA_Tooltip_ability_item_bloodthorn_bonus_mana_regen_bz"		"%+  魔法恢复 (兵卒装备) "
		"DOTA_Tooltip_ability_item_bloodthorn_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 2 </font>回合）（英雄装备）"

		//水晶剑
		"DOTA_Tooltip_ability_item_lesser_crit_bg"					"水晶剑"
		"DOTA_Tooltip_ability_item_lesser_crit_bg_Description"		"<h1>被动：致命一击</h1>每次攻击时有<font color='#7e8c9d'>%crit_chance%% </font>概率造成<font color='#7e8c9d'>%crit_multiplier%% </font>伤害。"
		"DOTA_Tooltip_ability_item_lesser_crit_bg_bonus_damage"		"+  攻击力"

		//坚韧球
		"DOTA_Tooltip_ability_item_pers_bonus_health_regen_hero"	"+  血量恢复（每回合）"
		// "DOTA_Tooltip_ability_item_pers_Description"			"英雄装备：+<font color='#FFFFFF'> %bonus_mana_regen_hero% </font>点魔法恢复(每<font color='#FFFFFF'> %bonus_mana_regen_hero_round% </font>回合)\n兵卒装备：+<font color='#FFFFFF'> %bonus_mana_regen_bz%% </font> 魔法恢复"
		"DOTA_Tooltip_ability_item_pers_bonus_mana_regen_bz"	"%+  魔法恢复 (兵卒装备) "
		"DOTA_Tooltip_ability_item_pers_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 1 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_pers_Note0"							""

		//刷新球
		"DOTA_Tooltip_ability_item_refresher_Description"			"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"
		"DOTA_Tooltip_ability_item_refresher_bonus_health_regen_hero"	"+  血量恢复 (每回合)"
		"DOTA_Tooltip_ability_item_refresher_bonus_mana_regen_bz"	"%+  魔法恢复（兵卒装备）"
		"DOTA_Tooltip_ability_item_refresher_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 1 </font>回合）（英雄装备）"

		//银月
		// "DOTA_Tooltip_ability_item_moon_shard_Description"	"<h1>使用：吞噬</h1>吞噬银月之晶，永久获得%consumed_bonus%攻击速度。最多使用1次。"
		"DOTA_Tooltip_ability_item_moon_shard_Description"	""

		//奥术鞋
		"DOTA_Tooltip_ability_item_arcane_boots_bg"	"奥术鞋"
		"DOTA_Tooltip_ability_item_arcane_boots_bg_Description"	"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。 \n多个鞋类物品提供的移动速度加成不叠加。"
		"DOTA_Tooltip_ability_item_arcane_boots_bg_Note0"			""
		"DOTA_Tooltip_ability_item_arcane_boots_bg_bonus_movement"			"%+  移动速度"
		"DOTA_Tooltip_ability_item_arcane_boots_bg_bonus_mana"			"+ 魔法上限"
		"DOTA_Tooltip_ability_item_arcane_boots_bg_Lore"	"装备这种鞋子的法师在战斗中值得重视。"

		"DOTA_Tooltip_ability_item_energy_booster_bonus_mana"			"+ 魔法上限"

		//相位鞋
		"DOTA_Tooltip_ability_item_phase_boots_bg"						"相位鞋"
		"DOTA_Tooltip_ability_item_phase_boots_bg_Description"			"<h1>被动：受伤加速</h1>根据所受伤害，提供移速加成。"
		"DOTA_Tooltip_ability_item_phase_boots_bg_bonus_damage"			"+ 攻击力"
		"DOTA_Tooltip_ability_item_phase_boots_bg_bonus_armor"			"+ 护甲"
		"DOTA_Tooltip_ability_item_phase_boots_bg_bonus_movement_speed"			"%+ 移动速度"

		//动力鞋
		"DOTA_Tooltip_ability_item_power_treads_bg"			    		"动力鞋"
		"DOTA_Tooltip_ability_item_power_treads_bg_Description"			"<h1>被动：澎湃动力</h1>每点魔法提供<font color='#7e8c9d'> %mana_to_speed% </font>点移速度。"
		"DOTA_Tooltip_ability_item_power_treads_bg_bonus_movement_speed""%+ 移动速度"
		"DOTA_Tooltip_ability_item_power_treads_bg_bonus_attack_speed"	"+ 攻击速度"
		"DOTA_Tooltip_ability_item_power_treads_bg_Lore"				"一双厚实的皮鞋，能根据穿着者的魔法改变移动速度。"

		//回复戒指
		"DOTA_Tooltip_ability_item_ring_of_regen_bonus_health_regen_hero"			"+  血量恢复（每回合）"
		//治疗指环
		"DOTA_Tooltip_ability_item_ring_of_health_bonus_health_regen_hero"			"+  血量恢复（每回合）"

		//魔力法杖
		"DOTA_Tooltip_ability_item_staff_of_wizardry_spell_amp"			"%+ 技能增强"

		//阿哈利姆神杖
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_mana"			"+ 魔法上限"
		"DOTA_Tooltip_ability_item_ultimate_scepter_spell_amp"			"%+ 技能增强"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_strength"		"+ 力量"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_agility"		"+ 敏捷"
		"DOTA_Tooltip_ability_item_ultimate_scepter_bonus_health"		"+ 生命值"
		"DOTA_Tooltip_ability_item_ultimate_scepter_Description"			"<h1>被动：终极卡牌</h1>获得一张终极技能卡牌。"

		"DOTA_Tooltip_ability_item_iron_talon_bg"						"猎野爪"
		"DOTA_Tooltip_ability_item_iron_talon_bg_Description"			"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张猎野牌。"

		//否决
		"DOTA_Tooltip_ability_item_nullifier_Description"				"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"
		"DOTA_Tooltip_ability_item_nullifier_bonus_health_regen_hero"	"+  血量恢复（每回合）"
		"DOTA_Tooltip_ability_item_nullifier_bonus_strength"	"+  力量"
		"DOTA_Tooltip_ability_item_nullifier_bonus_agility"		"+  敏捷"
		"DOTA_Tooltip_ability_item_nullifier_spell_amp"			"%+ 技能增强"

		//铁意头盔
		"DOTA_Tooltip_ability_item_helm_of_iron_will_bonus_health_regen_hero"	"+  血量恢复（每回合）"

		//闪烁匕首
		"DOTA_Tooltip_ability_item_blink_Description"					"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"

		//先锋盾
		"DOTA_Tooltip_ability_item_vanguard_bonus_health_regen_hero"	"+  血量恢复（每回合）"
		"DOTA_Tooltip_ability_item_vanguard_Description"				"<h1>被动：伤害格挡</h1>拥有<font color='#7e8c9d'>%block_chance%% </font>的概率格挡普攻伤害，近战英雄可格挡<font color='#7e8c9d'>%block_damage_melee%</font>点伤害，远程英雄可格挡<font color='#7e8c9d'>%block_damage_ranged%</font>点伤害。"


		//抗魔斗篷
		"DOTA_Tooltip_ability_item_cloak_bonus_magical_armor"			"%+ 魔法抗性"

		//挑战头巾
		"DOTA_Tooltip_ability_item_hood_of_defiance_bg"			"挑战头巾"
		"DOTA_Tooltip_ability_item_hood_of_defiance_bg_Description"			""
		"DOTA_Tooltip_ability_item_hood_of_defiance_bg_bonus_spell_resist"			"%+  魔法抗性"
		"DOTA_Tooltip_ability_item_hood_of_defiance_bg_bonus_health_regen_hero"			"+  血量恢复（每回合）"
		"DOTA_Tooltip_ability_item_hood_of_defiance_bg_Lore"			"一顶巫师们害怕的、具有魔法抵抗力的皮质头巾。"

		//洞察烟斗
		"DOTA_Tooltip_ability_item_pipe_lua"							"洞察烟斗"
		"DOTA_Tooltip_ability_item_pipe_lua_Description"				"<h1>开关：魔法护盾</h1>有<font color='#7e8c9d'>%miss_mana_damege_percentage%% </font>概率，消耗英雄<font color='#7e8c9d'> %miss_need_mana% </font>点魔法，抵挡一次魔法攻击。<br><br> 作用英雄和全部兵卒。"
		"DOTA_Tooltip_ability_item_pipe_lua_magic_resistance"			"%+  魔法抗性"
		"DOTA_Tooltip_ability_item_pipe_lua_bonus_health_regen_hero"	"+  血量恢复（每回合）"
		"DOTA_Tooltip_ability_item_pipe_lua_bonus_mana_regen_bz"	"%+  魔法恢复（兵卒装备）"
		"DOTA_Tooltip_ability_item_pipe_lua_bonus_mana_regen_hero"	"+  魔法恢复（每<font color='#FFFFFF'> 2 </font>回合）（英雄装备）"
		"DOTA_Tooltip_ability_item_pipe_lua_Lore"						"一件来源神秘的强大古物，能制造出抵挡法术攻击的护盾。"
		"DOTA_Tooltip_ability_item_pipe_lua_Note0"						"多个魔法护盾效果不会叠加。<br>能与其他提高魔法抗性的技能叠加。"
		"DOTA_Tooltip_Modifier_item_pipe_buff"						"魔法护盾"
        "DOTA_Tooltip_Modifier_item_pipe_buff_Description"			"一定概率消耗魔法抵挡魔法攻击。"

		//赤红甲
		"DOTA_Tooltip_ability_item_crimson_guard_Description"				"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。\n<h1>被动：伤害格挡</h1>拥有<font color='#7e8c9d'>%block_chance%% </font>的概率格挡普攻伤害，近战英雄可格挡<font color='#7e8c9d'>%block_damage_melee%</font>点伤害，远程英雄可格挡<font color='#7e8c9d'>%block_damage_ranged%</font>点伤害。"
		"DOTA_Tooltip_ability_item_crimson_guard_bonus_health_regen_hero"	"+  血量恢复（每回合）"
		"DOTA_Tooltip_ability_item_crimson_guard_Note0"						"多个伤害格挡效果不会叠加。"
		"DOTA_Tooltip_ability_item_crimson_guard_Note1"						"无法驱散。"
		"DOTA_Tooltip_ability_item_crimson_guard_Note2"						""
		"DOTA_Tooltip_Modifier_item_crimson_guard_buff"						"坚盾"
        "DOTA_Tooltip_Modifier_item_crimson_guard_buff_Description"			"抵挡一切物理伤害"
		"DOTA_Tooltip_Modifier_item_crimson_guard_debuff"						"坚盾代价"
        "DOTA_Tooltip_Modifier_item_crimson_guard_debuff_Description"			"每层失去 1 点护甲"


		//刃甲
		"DOTA_Tooltip_ability_item_blade_mail_Description"		"<h1>被动：卡牌</h1>每<font color='#7e8c9d'> %cd_getcard% </font>回合获得一张物品牌。"
		"DOTA_Tooltip_ability_item_blade_mail_bonus_spell_resist"		"%+  魔法抗性"
		"DOTA_Tooltip_ability_item_blade_mail_Note0"				"多个反伤效果不会叠加。"
		"DOTA_Tooltip_ability_item_blade_mail_Note1"				"无法驱散。"
		"DOTA_Tooltip_ability_item_blade_mail_Note2"				""
		"DOTA_Tooltip_ability_item_blade_mail_Note3"				""
		"DOTA_Tooltip_Modifier_item_blade_mail_buff"				"反弹伤害"
        "DOTA_Tooltip_Modifier_item_blade_mail_buff_Description"	"受伤返还伤害，伤害为护甲魔抗减免后的同类型伤害。"


		//纷争面纱
